,lat,lon
1242,48.84463,2.37315
9162,48.84466,2.37351
2431,48.84451,2.37326
8430,48.84459,2.37351
9886,48.84459,2.3730900000000004
3180,48.844440000000006,2.37338
10706,48.84453,2.37321
9970,48.84467,2.37363
3634,48.844640000000005,2.3736900000000003
1603,48.84466,2.37338
7757,48.84437,2.37337
1103,48.84454,2.37333
7218,48.84458,2.37368
2873,48.84438,2.3734900000000003
5354,48.84452,2.37351
7806,48.84456,2.37357
2891,48.84438,2.3734900000000003
7383,48.84458,2.37368
9565,48.84443,2.37355
8667,48.84451,2.37366
1743,48.84466,2.37338
2503,48.84451,2.37326
6088,48.84437,2.37319
5847,48.84463,2.37358
7424,48.84454,2.3736200000000003
8666,48.84451,2.37366
1669,48.84466,2.37338
382,48.84446,2.3735
3265,48.84448,2.37345
3367,48.84448,2.37345
42,48.84473,2.37338
7633,48.84437,2.37337
4191,48.84476,2.37332
221,48.84446,2.3735
9311,48.84466,2.37351
7308,48.84458,2.37368
9428,48.8447,2.37357
2617,48.84451,2.37339
598,48.84462,2.37374
9134,48.84473,2.37318
1373,48.84468,2.37321
6261,48.84434,2.37342
6035,48.84437,2.37319
3822,48.844640000000005,2.3736900000000003
7546,48.84454,2.3736200000000003
5759,48.84463,2.37358
10025,48.84467,2.37363
2600,48.84451,2.37339
6810,48.84456,2.37315
5982,48.84437,2.37319
6804,48.84456,2.37315
3120,48.844440000000006,2.37338
6944,48.84456,2.37315
1467,48.84468,2.37321
4038,48.84476,2.37345
10609,48.84453,2.37321
5809,48.84463,2.37358
2128,48.84443,2.37326
812,48.84469,2.37332
841,48.84469,2.37332
651,48.84469,2.37332
1640,48.84466,2.37338
8114,48.84447,2.37361
2315,48.84447,2.37332
7540,48.84454,2.3736200000000003
6665,48.8444,2.37314
3664,48.844640000000005,2.3736900000000003
8872,48.8447,2.37344
6408,48.84462,2.37332
8521,48.84451,2.37366
4946,48.84462,2.37344
2585,48.84451,2.37326
1297,48.84463,2.37315
834,48.84469,2.37332
9962,48.84467,2.37363
2646,48.84451,2.37339
6137,48.84434,2.37342
7086,48.84441,2.37344
3101,48.844440000000006,2.37338
5423,48.84452,2.37351
7838,48.84456,2.37357
2356,48.84447,2.37332
3991,48.84476,2.37345
7681,48.84437,2.37337
4976,48.84462,2.37344
8299,48.84459,2.37351
3726,48.844640000000005,2.3736900000000003
9689,48.84443,2.37355
6017,48.84437,2.37319
1060,48.84454,2.37333
2511,48.84451,2.37326
7157,48.84441,2.37344
7791,48.84437,2.37337
2457,48.84451,2.37326
6840,48.84456,2.37315
9829,48.84459,2.3730900000000004
10721,48.84453,2.37321
3921,48.84476,2.37345
9189,48.84466,2.37351
2049,48.84443,2.37326
4372,48.8445,2.37356
7799,48.84437,2.37337
2260,48.84447,2.37332
5485,48.84452,2.37351
898,48.84469,2.37332
10647,48.84453,2.37321
2400,48.84451,2.37326
5439,48.84452,2.37351
1788,48.84465,2.37326
8878,48.8447,2.37344
8518,48.84451,2.37366
9602,48.84443,2.37355
4393,48.8445,2.37356
144,48.84473,2.37338
7390,48.84458,2.37368
3655,48.844640000000005,2.3736900000000003
3398,48.84448,2.37345
4858,48.84462,2.37344
8202,48.84447,2.37361
226,48.84446,2.3735
9135,48.84473,2.37318
6290,48.84434,2.37342
4060,48.84476,2.37332
1830,48.84465,2.37326
